,,,,,all_scc,all_non,pop
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,54,530,"1,014,438"
  CA: Alameda County (06001),2000-2004,male,0-44,hw,16,185,"595,013"
  CA: Alameda County (06001),2000-2004,male,0-44,b,23,158,"407,526"
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,213,"2,235","425,284"
  CA: Alameda County (06001),2000-2004,male,45-64,hw,27,346,"88,426"
  CA: Alameda County (06001),2000-2004,male,45-64,b,93,844,"113,543"
  CA: Alameda County (06001),2000-2004,male,65+,nhw,310,"3,524","169,056"
  CA: Alameda County (06001),2000-2004,male,65+,hw,36,512,"27,033"
  CA: Alameda County (06001),2000-2004,male,65+,b,100,979,"41,677"
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,62,958,"977,611"
  CA: Alameda County (06001),2000-2004,female,0-44,hw,31,299,"528,015"
  CA: Alameda County (06001),2000-2004,female,0-44,b,41,397,"445,216"
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,139,"2,343","429,204"
  CA: Alameda County (06001),2000-2004,female,45-64,hw,33,407,"91,673"
  CA: Alameda County (06001),2000-2004,female,45-64,b,57,754,"136,262"
  CA: Alameda County (06001),2000-2004,female,65+,nhw,228,"3,593","242,054"
  CA: Alameda County (06001),2000-2004,female,65+,hw,25,448,"37,428"
  CA: Alameda County (06001),2000-2004,female,65+,b,60,920,"64,871"
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,38,478,"876,673"
  CA: Alameda County (06001),2005-2009,male,0-44,hw,9,192,"609,342"
  CA: Alameda County (06001),2005-2009,male,0-44,b,20,166,"368,051"
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,208,"2,271","437,048"
  CA: Alameda County (06001),2005-2009,male,45-64,hw,34,430,"109,900"
  CA: Alameda County (06001),2005-2009,male,45-64,b,71,909,"122,893"
  CA: Alameda County (06001),2005-2009,male,65+,nhw,263,"3,164","170,830"
  CA: Alameda County (06001),2005-2009,male,65+,hw,33,590,"30,201"
  CA: Alameda County (06001),2005-2009,male,65+,b,75,958,"42,224"
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,46,918,"844,381"
  CA: Alameda County (06001),2005-2009,female,0-44,hw,21,367,"554,806"
  CA: Alameda County (06001),2005-2009,female,0-44,b,27,310,"398,027"
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,93,"2,454","437,283"
  CA: Alameda County (06001),2005-2009,female,45-64,hw,24,491,"111,448"
  CA: Alameda County (06001),2005-2009,female,45-64,b,61,813,"145,583"
  CA: Alameda County (06001),2005-2009,female,65+,nhw,206,"3,182","232,091"
