,,,,,dige_scc,dige_non,dige_esophagus_scc,dige_esophagus_non,dige_stomach_scc,dige_stomach_non,dige_colonRectum_scc,dige_colonRectum_non,dige_rectumJunc_scc,dige_rectumJunc_non,dige_rectum_scc,dige_rectum_non,dige_anus_scc,dige_anus_non,dige_gallbladder_scc,dige_gallbladder_non,dige_pancreas_scc,dige_pancreas_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,3,134,0,8,0,12,0,73,0,28,0,21,3,1,0,1,0,13
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,19,487,6,36,2,47,1,262,1,94,1,60,10,2,0,1,0,64
  CA: Alameda County (06001),2000-2004,male,65+,nhw,31,792,24,56,1,90,2,474,2,130,2,90,4,3,0,1,0,99
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,9,74,1,0,0,9,1,44,1,19,1,9,7,0,0,2,0,5
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,19,255,7,2,0,11,1,170,1,58,1,38,11,3,0,3,0,35
  CA: Alameda County (06001),2000-2004,female,65+,nhw,30,879,14,11,1,60,4,572,4,105,4,79,9,3,1,12,1,147
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,5,101,0,10,0,6,1,55,1,27,1,15,4,1,0,0,0,13
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,13,532,3,45,0,45,1,237,1,93,1,70,9,4,0,3,0,78
  CA: Alameda County (06001),2005-2009,male,65+,nhw,18,736,11,31,1,63,0,414,0,119,0,93,6,4,0,3,0,130
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,3,85,0,2,0,8,0,58,0,14,0,9,3,1,0,0,0,10
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,20,323,5,6,0,22,0,203,0,63,0,43,15,3,0,2,0,48
  CA: Alameda County (06001),2005-2009,female,65+,nhw,34,820,15,14,1,49,4,500,4,75,4,57,13,5,1,7,0,151
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,4,74,1,3,1,9,1,47,1,21,1,17,1,1,0,0,0,6
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,18,446,8,21,2,33,1,205,1,76,1,56,7,4,0,1,0,67
  CA: Alameda County (06001),2010-2013,male,65+,nhw,22,568,10,54,0,50,0,242,0,56,0,47,12,4,0,5,0,112
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,3,70,1,1,0,4,0,49,0,20,0,17,2,3,0,0,0,6
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,18,259,4,5,1,12,1,157,1,41,1,28,11,5,1,2,0,33
  CA: Alameda County (06001),2010-2013,female,65+,nhw,23,553,11,21,0,43,1,284,1,53,1,34,10,3,1,12,0,118
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,8,111,0,9,0,5,3,67,3,31,3,26,5,1,0,0,0,15
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,12,432,5,36,0,35,3,255,3,105,3,83,4,2,0,0,0,49
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,21,777,15,53,0,68,3,465,3,113,3,85,3,3,0,4,0,103
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,11,84,2,0,0,6,1,48,1,14,1,9,8,3,0,1,0,13
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,21,279,4,3,0,15,3,164,3,45,3,29,14,4,0,3,0,48
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,31,883,14,12,1,50,4,568,4,106,4,80,12,6,0,16,0,147
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,7,103,1,3,0,8,0,71,0,36,0,26,6,0,0,0,0,8
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,22,530,12,36,0,32,1,282,1,109,1,81,9,6,0,1,0,77
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,20,792,14,53,1,75,1,447,1,102,1,73,3,4,1,5,0,116
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,3,78,0,1,0,2,2,56,2,20,2,14,1,1,0,0,0,12
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,20,330,4,3,0,12,5,222,5,73,5,46,11,3,0,4,0,49
  CA: Contra Costa County (06013),2005-2009,female,65+,nhw,26,822,14,10,1,40,1,496,1,86,1,64,10,8,0,14,0,160
