,,,,,misc_scc,misc_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,3,8
  CA: Alameda County (06001),2000-2004,male,0-44,hw,2,5
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,5
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,12,39
  CA: Alameda County (06001),2000-2004,male,45-64,hw,1,5
  CA: Alameda County (06001),2000-2004,male,45-64,b,5,27
  CA: Alameda County (06001),2000-2004,male,65+,nhw,17,127
  CA: Alameda County (06001),2000-2004,male,65+,hw,1,18
  CA: Alameda County (06001),2000-2004,male,65+,b,1,43
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,12
  CA: Alameda County (06001),2000-2004,female,0-44,hw,1,2
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,12
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,3,29
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,15
  CA: Alameda County (06001),2000-2004,female,45-64,b,1,25
  CA: Alameda County (06001),2000-2004,female,65+,nhw,7,178
  CA: Alameda County (06001),2000-2004,female,65+,hw,1,25
  CA: Alameda County (06001),2000-2004,female,65+,b,0,53
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,1,8
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,1
  CA: Alameda County (06001),2005-2009,male,0-44,b,1,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,12,32
  CA: Alameda County (06001),2005-2009,male,45-64,hw,2,4
  CA: Alameda County (06001),2005-2009,male,45-64,b,0,21
  CA: Alameda County (06001),2005-2009,male,65+,nhw,17,87
  CA: Alameda County (06001),2005-2009,male,65+,hw,2,14
  CA: Alameda County (06001),2005-2009,male,65+,b,2,18
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,1,4
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,7
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,1
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,2,31
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,7
  CA: Alameda County (06001),2005-2009,female,45-64,b,0,15
  CA: Alameda County (06001),2005-2009,female,65+,nhw,3,123
  CA: Alameda County (06001),2005-2009,female,65+,hw,1,25
  CA: Alameda County (06001),2005-2009,female,65+,b,0,34
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,2,2
  CA: Alameda County (06001),2010-2013,male,0-44,hw,1,3
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,6,20
  CA: Alameda County (06001),2010-2013,male,45-64,hw,2,5
  CA: Alameda County (06001),2010-2013,male,45-64,b,2,9
  CA: Alameda County (06001),2010-2013,male,65+,nhw,7,71
  CA: Alameda County (06001),2010-2013,male,65+,hw,0,8
  CA: Alameda County (06001),2010-2013,male,65+,b,3,14
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,0,5
  CA: Alameda County (06001),2010-2013,female,0-44,hw,1,5
  CA: Alameda County (06001),2010-2013,female,0-44,b,1,2
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,2,12
  CA: Alameda County (06001),2010-2013,female,45-64,hw,3,7
  CA: Alameda County (06001),2010-2013,female,45-64,b,0,11
  CA: Alameda County (06001),2010-2013,female,65+,nhw,3,77
  CA: Alameda County (06001),2010-2013,female,65+,hw,0,14
  CA: Alameda County (06001),2010-2013,female,65+,b,0,27
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,5,4
  CA: Contra Costa County (06013),2000-2004,male,0-44,hw,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,b,2,6
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,15,48
  CA: Contra Costa County (06013),2000-2004,male,45-64,hw,0,4
  CA: Contra Costa County (06013),2000-2004,male,45-64,b,1,8
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,7,128
  CA: Contra Costa County (06013),2000-2004,male,65+,hw,0,7
  CA: Contra Costa County (06013),2000-2004,male,65+,b,2,21
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,0,11
  CA: Contra Costa County (06013),2000-2004,female,0-44,hw,0,6
  CA: Contra Costa County (06013),2000-2004,female,0-44,b,0,6
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,4,35
  CA: Contra Costa County (06013),2000-2004,female,45-64,hw,0,8
  CA: Contra Costa County (06013),2000-2004,female,45-64,b,0,15
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,4,174
  CA: Contra Costa County (06013),2000-2004,female,65+,hw,1,17
  CA: Contra Costa County (06013),2000-2004,female,65+,b,0,21
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,3,7
  CA: Contra Costa County (06013),2005-2009,male,0-44,hw,1,1
  CA: Contra Costa County (06013),2005-2009,male,0-44,b,0,0
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,16,39
  CA: Contra Costa County (06013),2005-2009,male,45-64,hw,0,5
  CA: Contra Costa County (06013),2005-2009,male,45-64,b,2,7
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,13,108
  CA: Contra Costa County (06013),2005-2009,male,65+,hw,0,10
  CA: Contra Costa County (06013),2005-2009,male,65+,b,1,10
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,0,8
  CA: Contra Costa County (06013),2005-2009,female,0-44,hw,0,0
  CA: Contra Costa County (06013),2005-2009,female,0-44,b,0,1
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,3,34
  CA: Contra Costa County (06013),2005-2009,female,45-64,hw,0,3
  CA: Contra Costa County (06013),2005-2009,female,45-64,b,0,3
  CA: Contra Costa County (06013),2005-2009,female,65+,nhw,7,148
  CA: Contra Costa County (06013),2005-2009,female,65+,hw,0,18
  CA: Contra Costa County (06013),2005-2009,female,65+,b,0,12
  CA: Contra Costa County (06013),2010-2013,male,0-44,nhw,0,6
  CA: Contra Costa County (06013),2010-2013,male,0-44,hw,0,1
  CA: Contra Costa County (06013),2010-2013,male,0-44,b,1,2
  CA: Contra Costa County (06013),2010-2013,male,45-64,nhw,9,26
  CA: Contra Costa County (06013),2010-2013,male,45-64,hw,0,6
  CA: Contra Costa County (06013),2010-2013,male,45-64,b,1,6
  CA: Contra Costa County (06013),2010-2013,male,65+,nhw,16,77
  CA: Contra Costa County (06013),2010-2013,male,65+,hw,0,7
  CA: Contra Costa County (06013),2010-2013,male,65+,b,0,11
  CA: Contra Costa County (06013),2010-2013,female,0-44,nhw,0,3
  CA: Contra Costa County (06013),2010-2013,female,0-44,hw,0,2
  CA: Contra Costa County (06013),2010-2013,female,0-44,b,0,2
  CA: Contra Costa County (06013),2010-2013,female,45-64,nhw,3,17
  CA: Contra Costa County (06013),2010-2013,female,45-64,hw,0,6
  CA: Contra Costa County (06013),2010-2013,female,45-64,b,0,3
  CA: Contra Costa County (06013),2010-2013,female,65+,nhw,5,109
  CA: Contra Costa County (06013),2010-2013,female,65+,hw,2,6
  CA: Contra Costa County (06013),2010-2013,female,65+,b,2,10
  CA: Marin County (06041),2000-2004,male,0-44,nhw,1,0
  CA: Marin County (06041),2000-2004,male,0-44,hw,0,0
  CA: Marin County (06041),2000-2004,male,0-44,b,0,0
  CA: Marin County (06041),2000-2004,male,45-64,nhw,5,12
  CA: Marin County (06041),2000-2004,male,45-64,hw,0,0
  CA: Marin County (06041),2000-2004,male,45-64,b,0,0
  CA: Marin County (06041),2000-2004,male,65+,nhw,9,42
  CA: Marin County (06041),2000-2004,male,65+,hw,0,1
  CA: Marin County (06041),2000-2004,male,65+,b,0,0
  CA: Marin County (06041),2000-2004,female,0-44,nhw,0,3
  CA: Marin County (06041),2000-2004,female,0-44,hw,0,2
  CA: Marin County (06041),2000-2004,female,0-44,b,0,1
  CA: Marin County (06041),2000-2004,female,45-64,nhw,0,12
  CA: Marin County (06041),2000-2004,female,45-64,hw,0,0
  CA: Marin County (06041),2000-2004,female,45-64,b,0,1
  CA: Marin County (06041),2000-2004,female,65+,nhw,2,47
  CA: Marin County (06041),2000-2004,female,65+,hw,0,1
