,,,,,urin_scc,urin_non,urin_bladder_scc,urin_bladder_non,urin_kidney_scc,urin_kidney_non,urin_other_scc,urin_other_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,55,0,27,0,28,0,0
  CA: Alameda County (06001),2000-2004,male,0-44,hw,0,19,0,5,0,14,0,0
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,14,0,4,0,10,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,1,235,1,146,0,84,0,1
  CA: Alameda County (06001),2000-2004,male,45-64,hw,1,35,1,10,0,25,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,b,0,41,0,16,0,25,0,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,3,488,2,380,0,100,1,2
  CA: Alameda County (06001),2000-2004,male,65+,hw,0,47,0,33,0,14,0,0
  CA: Alameda County (06001),2000-2004,male,65+,b,2,75,2,40,0,31,0,2
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,34,0,11,0,23,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,7,0,2,0,5,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,17,0,3,0,14,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,1,91,1,47,0,44,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,10,0,4,0,6,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,21,0,7,0,13,0,1
  CA: Alameda County (06001),2000-2004,female,65+,nhw,1,235,1,137,0,92,0,1
  CA: Alameda County (06001),2000-2004,female,65+,hw,2,25,2,12,0,12,0,0
  CA: Alameda County (06001),2000-2004,female,65+,b,1,51,1,22,0,27,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,57,0,23,0,33,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,24,0,5,0,19,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,b,0,21,0,5,0,16,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,0,229,0,134,0,93,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,hw,0,50,0,14,0,36,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,b,1,57,1,21,0,36,0,0
  CA: Alameda County (06001),2005-2009,male,65+,nhw,3,481,3,353,0,123,0,3
  CA: Alameda County (06001),2005-2009,male,65+,hw,0,62,0,43,0,19,0,0
  CA: Alameda County (06001),2005-2009,male,65+,b,0,85,0,48,0,35,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,22,0,7,0,15,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,15,0,0,0,14,0,1
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,12,0,1,0,11,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,0,83,0,38,0,45,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,32,0,4,0,26,0,1
  CA: Alameda County (06001),2005-2009,female,45-64,b,0,32,0,5,0,25,0,1
  CA: Alameda County (06001),2005-2009,female,65+,nhw,2,192,2,125,0,64,0,0
  CA: Alameda County (06001),2005-2009,female,65+,hw,2,29,0,9,1,19,1,0
  CA: Alameda County (06001),2005-2009,female,65+,b,0,61,0,29,0,32,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,36,0,17,0,19,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,hw,0,21,0,3,0,18,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,12,0,3,0,9,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,2,201,0,107,0,93,2,0
  CA: Alameda County (06001),2010-2013,male,45-64,hw,0,46,0,16,0,30,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,b,0,53,0,20,0,33,0,0
  CA: Alameda County (06001),2010-2013,male,65+,nhw,1,407,1,301,0,99,0,4
  CA: Alameda County (06001),2010-2013,male,65+,hw,1,56,1,35,0,21,0,0
  CA: Alameda County (06001),2010-2013,male,65+,b,0,60,0,31,0,28,0,1
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,0,15,0,3,0,12,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,hw,0,14,0,3,0,11,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,b,1,11,1,1,0,9,0,1
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,2,84,2,28,0,56,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,hw,0,32,0,5,0,25,0,1
  CA: Alameda County (06001),2010-2013,female,45-64,b,1,34,1,10,0,22,0,1
  CA: Alameda County (06001),2010-2013,female,65+,nhw,3,144,2,80,0,58,1,0
  CA: Alameda County (06001),2010-2013,female,65+,hw,1,31,1,16,0,15,0,0
  CA: Alameda County (06001),2010-2013,female,65+,b,0,51,0,21,0,29,0,1
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,1,60,1,31,0,29,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,hw,0,14,0,6,0,8,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,b,0,7,0,2,0,5,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,3,267,2,165,0,100,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,hw,0,23,0,7,0,15,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,b,0,22,0,6,0,15,0,0
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,5,485,5,371,0,106,0,2
  CA: Contra Costa County (06013),2000-2004,male,65+,hw,0,41,0,20,0,20,0,0
  CA: Contra Costa County (06013),2000-2004,male,65+,b,0,31,0,18,0,13,0,0
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,1,17,1,9,0,8,0,0
  CA: Contra Costa County (06013),2000-2004,female,0-44,hw,0,4,0,0,0,4,0,0
  CA: Contra Costa County (06013),2000-2004,female,0-44,b,1,5,1,0,0,5,0,0
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,2,96,2,46,0,50,0,0
  CA: Contra Costa County (06013),2000-2004,female,45-64,hw,0,11,0,2,0,9,0,0
  CA: Contra Costa County (06013),2000-2004,female,45-64,b,1,9,1,3,0,5,0,1
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,3,208,2,133,0,71,0,2
  CA: Contra Costa County (06013),2000-2004,female,65+,hw,0,22,0,11,0,11,0,0
  CA: Contra Costa County (06013),2000-2004,female,65+,b,0,32,0,16,0,13,0,2
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,0,55,0,25,0,30,0,0
  CA: Contra Costa County (06013),2005-2009,male,0-44,hw,0,21,0,3,0,18,0,0
  CA: Contra Costa County (06013),2005-2009,male,0-44,b,1,12,1,3,0,9,0,0
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,0,288,0,172,0,115,0,0
  CA: Contra Costa County (06013),2005-2009,male,45-64,hw,0,31,0,12,0,19,0,0
  CA: Contra Costa County (06013),2005-2009,male,45-64,b,1,32,1,10,0,21,0,1
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,2,590,2,436,0,141,0,3
  CA: Contra Costa County (06013),2005-2009,male,65+,hw,0,43,0,25,0,15,0,0
  CA: Contra Costa County (06013),2005-2009,male,65+,b,1,35,1,23,0,12,0,0
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,0,24,0,7,0,17,0,0
  CA: Contra Costa County (06013),2005-2009,female,0-44,hw,0,9,0,1,0,8,0,0
  CA: Contra Costa County (06013),2005-2009,female,0-44,b,0,6,0,0,0,6,0,0
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,0,102,0,38,0,61,0,1
  CA: Contra Costa County (06013),2005-2009,female,45-64,hw,0,23,0,5,0,18,0,0
  CA: Contra Costa County (06013),2005-2009,female,45-64,b,0,16,0,3,0,12,0,1
  CA: Contra Costa County (06013),2005-2009,female,65+,nhw,6,199,6,112,0,78,0,1
  CA: Contra Costa County (06013),2005-2009,female,65+,hw,0,28,0,10,0,18,0,0
  CA: Contra Costa County (06013),2005-2009,female,65+,b,0,22,0,10,0,11,0,0
  CA: Contra Costa County (06013),2010-2013,male,0-44,nhw,0,51,0,16,0,35,0,0
  CA: Contra Costa County (06013),2010-2013,male,0-44,hw,0,15,0,2,0,12,0,0
  CA: Contra Costa County (06013),2010-2013,male,0-44,b,0,6,0,1,0,5,0,0
  CA: Contra Costa County (06013),2010-2013,male,45-64,nhw,0,237,0,124,0,112,0,0
  CA: Contra Costa County (06013),2010-2013,male,45-64,hw,0,37,0,9,0,27,0,0
  CA: Contra Costa County (06013),2010-2013,male,45-64,b,0,33,0,14,0,19,0,0
  CA: Contra Costa County (06013),2010-2013,male,65+,nhw,1,460,1,332,0,123,0,1
  CA: Contra Costa County (06013),2010-2013,male,65+,hw,0,43,0,30,0,12,0,0
  CA: Contra Costa County (06013),2010-2013,male,65+,b,0,37,0,22,0,15,0,0
  CA: Contra Costa County (06013),2010-2013,female,0-44,nhw,0,18,0,1,0,15,0,2
  CA: Contra Costa County (06013),2010-2013,female,0-44,hw,0,8,0,2,0,6,0,0
  CA: Contra Costa County (06013),2010-2013,female,0-44,b,0,3,0,0,0,3,0,0
  CA: Contra Costa County (06013),2010-2013,female,45-64,nhw,0,86,0,41,0,43,0,1
  CA: Contra Costa County (06013),2010-2013,female,45-64,hw,0,20,0,5,0,15,0,0
  CA: Contra Costa County (06013),2010-2013,female,45-64,b,0,13,0,4,0,9,0,0
  CA: Contra Costa County (06013),2010-2013,female,65+,nhw,0,179,0,106,0,69,0,0
  CA: Contra Costa County (06013),2010-2013,female,65+,hw,1,24,1,9,0,13,0,0
  CA: Contra Costa County (06013),2010-2013,female,65+,b,0,24,0,5,0,18,0,1
  CA: Marin County (06041),2000-2004,male,0-44,nhw,0,17,0,7,0,10,0,0
  CA: Marin County (06041),2000-2004,male,0-44,hw,0,1,0,1,0,0,0,0
  CA: Marin County (06041),2000-2004,male,0-44,b,0,3,0,0,0,3,0,0
  CA: Marin County (06041),2000-2004,male,45-64,nhw,0,98,0,66,0,32,0,0
  CA: Marin County (06041),2000-2004,male,45-64,hw,0,7,0,6,0,1,0,0
  CA: Marin County (06041),2000-2004,male,45-64,b,0,2,0,0,0,2,0,0
  CA: Marin County (06041),2000-2004,male,65+,nhw,2,207,2,161,0,41,0,1
  CA: Marin County (06041),2000-2004,male,65+,hw,0,6,0,5,0,1,0,0
  CA: Marin County (06041),2000-2004,male,65+,b,0,2,0,1,0,1,0,0
  CA: Marin County (06041),2000-2004,female,0-44,nhw,0,8,0,1,0,7,0,0
  CA: Marin County (06041),2000-2004,female,0-44,hw,0,5,0,0,0,5,0,0
  CA: Marin County (06041),2000-2004,female,0-44,b,0,1,0,0,0,1,0,0
  CA: Marin County (06041),2000-2004,female,45-64,nhw,0,41,0,20,0,20,0,0
  CA: Marin County (06041),2000-2004,female,45-64,hw,0,2,0,0,0,2,0,0
  CA: Marin County (06041),2000-2004,female,45-64,b,0,2,0,1,0,1,0,0
  CA: Marin County (06041),2000-2004,female,65+,nhw,1,89,0,56,1,33,0,0
  CA: Marin County (06041),2000-2004,female,65+,hw,0,2,0,1,0,1,0,0
  CA: Marin County (06041),2000-2004,female,65+,b,0,1,0,1,0,0,0,0
  CA: Marin County (06041),2005-2009,male,0-44,nhw,0,13,0,5,0,7,0,1
  CA: Marin County (06041),2005-2009,male,0-44,hw,0,1,0,1,0,0,0,0
  CA: Marin County (06041),2005-2009,male,0-44,b,0,0,0,0,0,0,0,0
  CA: Marin County (06041),2005-2009,male,45-64,nhw,1,94,1,55,0,39,0,0
  CA: Marin County (06041),2005-2009,male,45-64,hw,0,1,0,1,0,0,0,0
