,,,,,eye_scc,eye_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,1,6
  CA: Alameda County (06001),2000-2004,male,0-44,hw,0,1
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,0,12
  CA: Alameda County (06001),2000-2004,male,45-64,hw,0,1
  CA: Alameda County (06001),2000-2004,male,45-64,b,0,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,1,7
  CA: Alameda County (06001),2000-2004,male,65+,hw,0,2
  CA: Alameda County (06001),2000-2004,male,65+,b,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,5
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,1,6
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,1
  CA: Alameda County (06001),2000-2004,female,65+,nhw,1,6
  CA: Alameda County (06001),2000-2004,female,65+,hw,0,0
  CA: Alameda County (06001),2000-2004,female,65+,b,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,3
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,1
  CA: Alameda County (06001),2005-2009,male,0-44,b,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,1,5
  CA: Alameda County (06001),2005-2009,male,45-64,hw,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,b,0,0
  CA: Alameda County (06001),2005-2009,male,65+,nhw,1,12
  CA: Alameda County (06001),2005-2009,male,65+,hw,0,2
  CA: Alameda County (06001),2005-2009,male,65+,b,0,1
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,4
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,1
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,0,5
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,1
  CA: Alameda County (06001),2005-2009,female,45-64,b,0,0
  CA: Alameda County (06001),2005-2009,female,65+,nhw,0,4
  CA: Alameda County (06001),2005-2009,female,65+,hw,0,0
  CA: Alameda County (06001),2005-2009,female,65+,b,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,4
  CA: Alameda County (06001),2010-2013,male,0-44,hw,0,2
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,1
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,2,8
  CA: Alameda County (06001),2010-2013,male,45-64,hw,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,b,0,0
  CA: Alameda County (06001),2010-2013,male,65+,nhw,1,4
  CA: Alameda County (06001),2010-2013,male,65+,hw,0,0
  CA: Alameda County (06001),2010-2013,male,65+,b,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,1,5
  CA: Alameda County (06001),2010-2013,female,0-44,hw,0,1
  CA: Alameda County (06001),2010-2013,female,0-44,b,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,1,9
  CA: Alameda County (06001),2010-2013,female,45-64,hw,0,1
  CA: Alameda County (06001),2010-2013,female,45-64,b,0,0
