,,,,,brea_scc,brea_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,0
  CA: Alameda County (06001),2000-2004,male,0-44,hw,0,0
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,1
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,0,3
  CA: Alameda County (06001),2000-2004,male,45-64,hw,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,b,0,2
  CA: Alameda County (06001),2000-2004,male,65+,nhw,0,7
  CA: Alameda County (06001),2000-2004,male,65+,hw,0,1
  CA: Alameda County (06001),2000-2004,male,65+,b,0,5
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,535
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,134
  CA: Alameda County (06001),2000-2004,female,0-44,b,1,196
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,1,"1,273"
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,197
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,335
  CA: Alameda County (06001),2000-2004,female,65+,nhw,0,"1,097"
  CA: Alameda County (06001),2000-2004,female,65+,hw,0,122
  CA: Alameda County (06001),2000-2004,female,65+,b,0,250
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,b,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,0,5
  CA: Alameda County (06001),2005-2009,male,45-64,hw,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,b,0,3
  CA: Alameda County (06001),2005-2009,male,65+,nhw,0,11
  CA: Alameda County (06001),2005-2009,male,65+,hw,0,0
  CA: Alameda County (06001),2005-2009,male,65+,b,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,508
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,162
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,172
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,1,"1,248"
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,225
  CA: Alameda County (06001),2005-2009,female,45-64,b,1,335
  CA: Alameda County (06001),2005-2009,female,65+,nhw,0,"1,010"
  CA: Alameda County (06001),2005-2009,female,65+,hw,0,138
  CA: Alameda County (06001),2005-2009,female,65+,b,1,243
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,hw,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,0,8
  CA: Alameda County (06001),2010-2013,male,45-64,hw,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,b,0,3
  CA: Alameda County (06001),2010-2013,male,65+,nhw,0,5
  CA: Alameda County (06001),2010-2013,male,65+,hw,0,2
  CA: Alameda County (06001),2010-2013,male,65+,b,0,2
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,0,338
  CA: Alameda County (06001),2010-2013,female,0-44,hw,0,145
  CA: Alameda County (06001),2010-2013,female,0-44,b,0,95
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,0,923
  CA: Alameda County (06001),2010-2013,female,45-64,hw,0,215
  CA: Alameda County (06001),2010-2013,female,45-64,b,0,270
  CA: Alameda County (06001),2010-2013,female,65+,nhw,0,820
  CA: Alameda County (06001),2010-2013,female,65+,hw,0,98
  CA: Alameda County (06001),2010-2013,female,65+,b,0,216
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,0,1
  CA: Contra Costa County (06013),2000-2004,male,0-44,hw,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,b,0,1
