,,,,,endo_scc,endo_non,endo_thyroid_scc,endo_thyroid_non,endo_other_scc,endo_other_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,40,0,29,0,11
  CA: Alameda County (06001),2000-2004,male,0-44,hw,0,11,0,8,0,3
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,5,0,3,0,2
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,0,29,0,24,0,5
  CA: Alameda County (06001),2000-2004,male,45-64,hw,0,4,0,4,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,b,0,4,0,3,0,1
  CA: Alameda County (06001),2000-2004,male,65+,nhw,0,12,0,10,0,2
  CA: Alameda County (06001),2000-2004,male,65+,hw,0,1,0,1,0,0
  CA: Alameda County (06001),2000-2004,male,65+,b,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,87,0,84,0,3
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,44,0,41,0,3
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,15,0,15,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,0,51,0,49,0,2
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,13,0,11,0,2
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,8,0,8,0,0
  CA: Alameda County (06001),2000-2004,female,65+,nhw,1,27,0,24,1,3
  CA: Alameda County (06001),2000-2004,female,65+,hw,0,7,0,5,0,2
  CA: Alameda County (06001),2000-2004,female,65+,b,0,5,0,5,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,44,0,37,0,7
  CA: Alameda County (06001),2005-2009,male,0-44,hw,0,15,0,9,0,6
  CA: Alameda County (06001),2005-2009,male,0-44,b,0,3,0,3,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,0,32,0,29,0,3
  CA: Alameda County (06001),2005-2009,male,45-64,hw,0,5,0,4,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,b,0,4,0,3,0,1
  CA: Alameda County (06001),2005-2009,male,65+,nhw,0,17,0,15,0,2
  CA: Alameda County (06001),2005-2009,male,65+,hw,0,2,0,2,0,0
  CA: Alameda County (06001),2005-2009,male,65+,b,0,7,0,4,0,3
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,127,0,125,0,2
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,45,0,43,0,2
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,10,0,9,0,1
