,,,,racen,all_scc,all_non,resp_scc,resp_non,oral_scc,oral_non,female_scc,female_non,digest_scc,digest_non,misc_scc,misc_non,male_scc,male_non,urinary_scc,urinary_non,eye_scc,eye_non,breast_scc,breast_non,endo_scc,endo_non,stissue_scc,stissue_non,bonej_scc,bonej_non,pop
  CA: Alameda County (06001),2000-2004,male,0-44,1,54,530,13,45,34,11,0,0,3,134,3,8,0,149,0,55,1,6,0,0,0,40,0,18,0,7,"1,014,438"
  CA: Alameda County (06001),2000-2004,male,45-64,1,213,"2,235",83,255,97,17,0,0,19,487,12,39,1,"1,077",1,235,0,12,0,3,0,29,0,21,0,3,"425,284"
  CA: Alameda County (06001),2000-2004,male,65+,1,310,"3,524",165,583,86,13,0,0,31,792,17,127,7,"1,429",3,488,1,7,0,7,0,12,0,18,0,4,"169,056"
  CA: Alameda County (06001),2000-2004,female,0-44,1,62,958,4,43,15,7,33,107,9,74,0,12,0,0,0,34,0,5,0,535,0,87,1,12,0,9,"977,611"
  CA: Alameda County (06001),2000-2004,female,45-64,1,139,"2,343",40,220,34,9,39,355,19,255,3,29,0,0,1,91,1,6,1,"1,273",0,51,1,13,0,0,"429,204"
  CA: Alameda County (06001),2000-2004,female,65+,1,228,"3,593",104,684,51,19,33,405,30,879,7,178,0,0,1,235,1,6,0,"1,097",1,27,0,23,0,5,"242,054"
  CA: Alameda County (06001),2005-2009,male,0-44,1,38,478,4,24,26,9,0,0,5,101,1,8,2,153,0,57,0,3,0,0,0,44,0,21,0,8,"876,673"
  CA: Alameda County (06001),2005-2009,male,45-64,1,208,"2,271",47,189,132,29,0,0,13,532,12,32,1,"1,137",0,229,1,5,0,5,0,32,2,20,0,8,"437,048"
  CA: Alameda County (06001),2005-2009,male,65+,1,263,"3,164",134,443,86,17,0,0,18,736,17,87,1,"1,302",3,481,1,12,0,11,0,17,1,19,2,1,"170,830"
  CA: Alameda County (06001),2005-2009,female,0-44,1,46,918,2,31,7,3,33,99,3,85,1,4,0,0,0,22,0,4,0,508,0,127,0,7,0,5,"844,381"
  CA: Alameda County (06001),2005-2009,female,45-64,1,93,"2,454",17,219,26,20,26,376,20,323,2,31,0,0,0,83,0,5,1,"1,248",0,94,0,16,1,5,"437,283"
  CA: Alameda County (06001),2005-2009,female,65+,1,206,"3,182",82,584,57,12,27,334,34,820,3,123,0,0,2,192,0,4,0,"1,010",1,34,0,22,0,3,"232,091"
  CA: Alameda County (06001),2010-2013,male,0-44,1,23,315,1,13,16,1,0,0,4,74,2,2,0,114,0,36,0,4,0,0,0,33,0,6,0,7,"664,704"
  CA: Alameda County (06001),2010-2013,male,45-64,1,167,"1,732",35,127,101,15,0,0,18,446,6,20,2,808,2,201,2,8,0,8,1,32,0,22,0,7,"349,664"
  CA: Alameda County (06001),2010-2013,male,65+,1,223,"2,400",114,329,71,15,0,0,22,568,7,71,5,909,1,407,1,4,0,5,1,23,1,20,0,4,"156,934"
  CA: Alameda County (06001),2010-2013,female,0-44,1,31,665,1,12,3,1,23,89,3,70,0,5,0,0,0,15,1,5,0,338,0,93,0,13,0,4,"639,074"
  CA: Alameda County (06001),2010-2013,female,45-64,1,89,"1,912",11,122,24,9,31,354,18,259,2,12,0,0,2,84,1,9,0,923,0,100,0,12,0,3,"347,383"
  CA: Alameda County (06001),2010-2013,female,65+,1,171,"2,421",80,411,35,9,26,322,23,553,3,77,0,0,3,144,1,4,0,820,0,30,0,15,0,2,"200,594"
  CA: Contra Costa County (06013),2000-2004,male,0-44,1,49,471,10,26,25,10,0,0,8,111,5,4,0,150,1,60,0,6,0,1,0,27,0,20,0,8,"914,435"
  CA: Contra Costa County (06013),2000-2004,male,45-64,1,203,"2,175",72,223,99,16,0,0,12,432,15,48,1,"1,066",3,267,1,10,0,5,0,25,0,21,0,6,"402,876"
  CA: Contra Costa County (06013),2000-2004,male,65+,1,280,"3,728",161,542,78,15,0,0,21,777,7,128,5,"1,687",5,485,2,10,0,15,0,10,0,16,1,4,"173,923"
  CA: Contra Costa County (06013),2000-2004,female,0-44,1,70,893,6,39,15,6,37,108,11,84,0,11,0,0,1,17,0,6,0,484,0,85,0,13,0,7,"905,087"
  CA: Contra Costa County (06013),2000-2004,female,45-64,1,130,"2,367",36,303,29,13,37,310,21,279,4,35,0,0,2,96,1,7,0,"1,228",0,54,0,13,0,3,"415,359"
  CA: Contra Costa County (06013),2000-2004,female,65+,1,245,"3,713",106,640,60,21,39,417,31,883,4,174,0,0,3,208,0,8,0,"1,289",1,15,0,24,1,3,"241,479"
  CA: Contra Costa County (06013),2005-2009,male,0-44,1,49,443,6,25,32,10,0,0,7,103,3,7,0,144,0,55,1,4,0,1,0,32,0,16,0,5,"804,551"
  CA: Contra Costa County (06013),2005-2009,male,45-64,1,217,"2,304",59,166,116,24,0,0,22,530,16,39,3,"1,119",0,288,1,8,0,2,0,42,0,25,0,6,"422,171"
  CA: Contra Costa County (06013),2005-2009,male,65+,1,239,"3,647",131,507,70,20,0,0,20,792,13,108,2,"1,501",2,590,1,6,0,7,0,20,0,38,0,3,"184,377"
  CA: Contra Costa County (06013),2005-2009,female,0-44,1,39,854,3,33,8,5,25,87,3,78,0,8,0,0,0,24,0,7,0,473,0,98,0,10,0,2,"793,579"
  CA: Contra Costa County (06013),2005-2009,female,45-64,1,107,"2,442",23,224,31,9,29,370,20,330,3,34,0,0,0,102,0,13,0,"1,218",0,96,1,8,0,2,"435,143"
  CA: Contra Costa County (06013),2005-2009,female,65+,1,178,"3,422",81,668,39,11,16,361,26,822,7,148,0,0,6,199,2,11,0,"1,102",1,38,0,21,0,0,"244,395"
  CA: Contra Costa County (06013),2010-2013,male,0-44,1,27,331,1,19,24,3,0,0,2,76,0,6,0,102,0,51,0,2,0,1,0,27,0,10,0,3,"596,380"
  CA: Contra Costa County (06013),2010-2013,male,45-64,1,165,"1,768",47,121,89,16,0,0,14,456,9,26,3,795,0,237,0,3,0,4,1,43,1,20,1,7,"343,606"
  CA: Contra Costa County (06013),2010-2013,male,65+,1,270,"2,625",145,349,86,18,0,0,18,583,16,77,2,"1,042",1,460,1,10,0,9,0,20,1,29,0,3,"169,090"
  CA: Contra Costa County (06013),2010-2013,female,0-44,1,30,650,0,17,3,5,23,74,4,78,0,3,0,0,0,18,0,2,0,302,0,112,0,11,0,5,"586,364"
  CA: Contra Costa County (06013),2010-2013,female,45-64,1,93,"1,872",9,137,26,7,32,299,23,271,3,17,0,0,0,86,0,5,0,908,0,86,0,15,0,4,"353,801"
  CA: Contra Costa County (06013),2010-2013,female,65+,1,177,"2,762",86,484,41,14,21,334,23,629,5,109,0,0,0,179,0,4,0,928,0,32,0,11,1,1,"214,912"
  CA: Marin County (06041),2000-2004,male,0-44,1,21,161,3,14,15,5,0,0,1,45,1,0,1,54,0,17,0,3,0,0,0,7,0,6,0,0,"289,392"
  CA: Marin County (06041),2000-2004,male,45-64,1,71,916,15,65,45,11,0,0,6,165,5,12,0,513,0,98,0,2,0,3,0,17,0,10,0,1,"160,150"
  CA: Marin County (06041),2000-2004,male,65+,1,111,"1,445",54,162,37,11,0,0,8,307,9,42,1,665,2,207,0,3,0,7,0,10,0,7,0,0,"66,473"
  CA: Marin County (06041),2000-2004,female,0-44,1,15,358,0,19,2,1,11,31,2,18,0,3,0,0,0,8,0,3,0,226,0,30,0,3,0,2,"291,755"
  CA: Marin County (06041),2000-2004,female,45-64,1,43,987,11,80,10,6,14,145,6,101,0,12,0,0,0,41,1,4,1,558,0,22,0,3,0,0,"172,059"
  CA: Marin County (06041),2000-2004,female,65+,1,81,"1,283",33,212,22,9,8,142,14,299,2,47,0,0,1,89,1,3,0,444,0,10,0,12,0,0,"89,709"
  CA: Marin County (06041),2005-2009,male,0-44,1,17,118,1,3,13,2,0,0,3,23,0,1,0,45,0,13,0,2,0,0,0,10,0,5,0,2,"258,320"
  CA: Marin County (06041),2005-2009,male,45-64,1,78,998,17,58,51,7,0,0,3,198,2,11,3,583,1,94,1,3,0,0,0,16,0,8,0,2,"163,834"
  CA: Marin County (06041),2005-2009,male,65+,1,87,"1,474",30,179,41,9,0,0,7,294,4,28,0,666,5,231,0,4,0,5,0,11,0,16,0,3,"74,889"
  CA: Marin County (06041),2005-2009,female,0-44,1,8,300,0,4,1,3,6,42,1,23,0,1,0,0,0,8,0,3,0,175,0,26,0,3,0,0,"258,718"
  CA: Marin County (06041),2005-2009,female,45-64,1,38,"1,014",7,62,13,6,12,149,6,120,0,8,0,0,0,40,0,1,0,565,0,38,0,10,0,3,"177,047"
  CA: Marin County (06041),2005-2009,female,65+,1,67,"1,307",26,228,20,9,9,131,10,322,2,38,0,0,0,82,0,7,0,448,0,14,0,15,0,2,"97,243"
  CA: Marin County (06041),2010-2013,male,0-44,1,20,112,3,4,16,2,0,0,1,21,0,1,0,42,0,9,0,1,0,0,0,9,0,9,0,1,"194,899"
  CA: Marin County (06041),2010-2013,male,45-64,1,63,617,9,40,46,12,0,0,6,132,1,4,1,315,0,72,0,1,0,2,0,15,0,4,0,2,"129,325"
  CA: Marin County (06041),2010-2013,male,65+,1,98,"1,049",35,121,46,14,0,0,13,221,1,22,2,462,1,171,0,1,0,6,0,4,0,17,0,2,"73,012"
  CA: Marin County (06041),2010-2013,female,0-44,1,15,228,0,4,6,2,5,17,4,21,0,0,0,0,0,3,0,0,0,135,0,28,0,2,0,3,"195,288"
  CA: Marin County (06041),2010-2013,female,45-64,1,36,705,3,38,14,5,7,126,11,92,1,7,0,0,0,10,0,3,0,379,0,29,0,2,0,2,"140,613"
  CA: Marin County (06041),2010-2013,female,65+,1,76,"1,045",23,181,20,7,9,131,21,232,2,31,0,0,0,68,0,2,1,345,0,17,0,9,0,1,"90,623"
  CA: San Francisco County (06075),2000-2004,male,0-44,1,78,345,8,33,31,6,0,0,35,79,3,8,0,106,0,37,1,5,0,0,0,23,0,18,0,2,"652,800"
  CA: San Francisco County (06075),2000-2004,male,45-64,1,201,"1,175",55,162,83,14,0,0,52,276,8,36,3,507,0,107,0,8,0,5,0,20,0,11,0,3,"229,798"
  CA: San Francisco County (06075),2000-2004,male,65+,1,190,"2,134",82,302,63,14,0,0,30,548,8,74,4,858,2,283,1,1,0,5,0,9,0,14,0,0,"99,198"
  CA: San Francisco County (06075),2000-2004,female,0-44,1,39,540,3,17,7,6,24,68,5,48,0,4,0,0,0,16,0,5,0,273,0,76,0,5,0,2,"545,349"
  CA: San Francisco County (06075),2000-2004,female,45-64,1,62,"1,171",10,108,22,6,19,194,10,164,1,21,0,0,0,38,0,5,0,588,0,23,0,6,0,1,"184,261"
  CA: San Francisco County (06075),2000-2004,female,65+,1,133,"2,025",42,356,34,13,26,194,20,579,5,105,0,0,5,131,0,3,1,599,0,14,0,5,0,1,"129,911"
  CA: San Francisco County (06075),2005-2009,male,0-44,1,67,348,9,17,29,10,0,0,24,87,3,3,1,114,1,36,0,2,0,1,0,27,0,9,0,4,"630,328"
  CA: San Francisco County (06075),2005-2009,male,45-64,1,206,"1,283",48,121,83,12,0,0,58,353,12,28,1,555,4,148,0,2,0,5,0,21,0,12,0,1,"247,829"
  CA: San Francisco County (06075),2005-2009,male,65+,1,173,"1,847",77,263,50,6,0,0,30,445,7,44,3,738,3,290,3,3,0,6,0,13,0,13,0,1,"100,670"
  CA: San Francisco County (06075),2005-2009,female,0-44,1,24,524,1,17,6,5,12,64,4,46,0,2,0,0,1,9,0,0,0,281,0,69,0,8,0,6,"544,499"
  CA: San Francisco County (06075),2005-2009,female,45-64,1,70,"1,183",21,90,16,10,17,203,14,163,1,9,0,0,1,51,0,1,0,580,0,44,0,12,0,2,"187,460"
  CA: San Francisco County (06075),2005-2009,female,65+,1,117,"1,701",49,270,25,8,23,197,16,494,2,56,0,0,2,137,0,4,0,473,0,30,0,13,0,3,"120,008"
  CA: San Francisco County (06075),2010-2013,male,0-44,1,30,314,3,13,10,8,0,0,15,72,1,1,1,109,0,40,0,1,0,0,0,30,0,8,0,4,"527,002"
  CA: San Francisco County (06075),2010-2013,male,45-64,1,140,960,27,76,65,16,0,0,37,293,5,15,1,354,1,125,2,5,0,4,0,18,2,11,0,3,"211,280"
  CA: San Francisco County (06075),2010-2013,male,65+,1,144,"1,240",67,182,49,7,0,0,19,323,5,25,2,455,0,195,0,4,0,7,0,7,2,10,0,3,"88,443"
  CA: San Francisco County (06075),2010-2013,female,0-44,1,21,443,1,5,7,4,11,38,2,38,0,2,0,0,0,12,0,3,0,237,0,76,0,6,0,2,"454,388"
  CA: San Francisco County (06075),2010-2013,female,45-64,1,41,849,5,59,13,5,12,147,9,134,2,8,0,0,0,36,0,1,0,400,0,35,0,8,0,1,"151,761"
  CA: San Francisco County (06075),2010-2013,female,65+,1,75,"1,237",35,203,18,7,9,163,10,299,1,39,0,0,2,81,0,2,0,396,0,25,0,11,0,0,"98,167"
  CA: San Mateo County (06081),2000-2004,male,0-44,1,39,292,9,21,21,3,0,0,3,65,3,1,0,88,1,45,1,3,0,3,0,17,1,15,0,5,"557,905"
  CA: San Mateo County (06081),2000-2004,male,45-64,1,161,"1,311",58,152,69,6,0,0,13,305,14,29,3,598,4,144,0,5,0,6,0,15,0,17,0,4,"252,450"
  CA: San Mateo County (06081),2000-2004,male,65+,1,234,"2,794",130,422,74,9,0,0,15,672,7,93,4,"1,102",4,415,0,6,0,9,0,10,0,11,0,3,"128,278"
  CA: San Mateo County (06081),2000-2004,female,0-44,1,31,634,1,24,4,7,20,61,4,56,1,4,0,0,0,14,0,0,0,353,1,77,0,5,0,4,"526,977"
  CA: San Mateo County (06081),2000-2004,female,45-64,1,65,"1,514",16,133,17,5,17,233,12,174,1,20,0,0,0,49,1,2,0,830,1,42,0,11,0,1,"253,499"
  CA: San Mateo County (06081),2000-2004,female,65+,1,155,"2,741",63,450,45,15,17,252,23,723,6,128,0,0,1,186,0,3,0,932,0,17,0,8,0,1,"178,785"
  CA: San Mateo County (06081),2005-2009,male,0-44,1,24,285,1,18,18,5,0,0,2,76,1,5,1,84,1,38,0,3,0,0,0,19,0,6,0,3,"484,248"
