,,,,,resp_scc,resp_non,resp_nose_scc,resp_nose_non,resp_larynx_scc,resp_larynx_non,resp_lung_scc,resp_lung_non,resp_pleura_scc,resp_pleura_non,resp_trachea_scc,resp_trachea_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,13,45,3,1,7,1,3,40,0,0,0,3
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,83,255,6,2,28,1,49,252,0,0,0,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,165,583,2,3,43,2,120,578,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,4,43,1,4,1,0,2,39,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,40,220,1,3,7,0,32,216,0,1,0,0
  CA: Alameda County (06001),2000-2004,female,65+,nhw,104,684,1,1,13,1,90,679,0,2,0,1
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,4,24,1,0,2,0,1,23,0,0,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,47,189,4,1,17,0,26,187,0,0,0,1
  CA: Alameda County (06001),2005-2009,male,65+,nhw,134,443,2,2,27,1,105,439,0,1,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,2,31,1,0,0,0,1,31,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,17,219,0,1,6,2,11,215,0,0,0,1
  CA: Alameda County (06001),2005-2009,female,65+,nhw,82,584,3,0,5,4,74,579,0,0,0,1
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,1,13,0,1,1,0,0,11,0,0,0,1
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,35,127,1,2,13,1,21,124,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,65+,nhw,114,329,2,2,17,2,95,322,0,2,0,1
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,1,12,0,1,1,0,0,10,0,0,0,1
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,11,122,0,2,3,1,8,119,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,65+,nhw,80,411,0,2,6,0,74,408,0,1,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,10,26,0,1,4,0,6,24,0,0,0,1
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,72,223,0,3,30,1,42,216,0,1,0,2
  CA: Contra Costa County (06013),2000-2004,male,65+,nhw,161,542,1,1,48,3,112,535,0,0,0,3
  CA: Contra Costa County (06013),2000-2004,female,0-44,nhw,6,39,0,0,1,0,5,39,0,0,0,0
  CA: Contra Costa County (06013),2000-2004,female,45-64,nhw,36,303,0,1,5,0,31,301,0,1,0,0
  CA: Contra Costa County (06013),2000-2004,female,65+,nhw,106,640,6,4,8,0,92,634,0,1,0,1
  CA: Contra Costa County (06013),2005-2009,male,0-44,nhw,6,25,0,4,3,1,3,19,0,0,0,1
  CA: Contra Costa County (06013),2005-2009,male,45-64,nhw,59,166,0,3,23,2,36,161,0,0,0,0
  CA: Contra Costa County (06013),2005-2009,male,65+,nhw,131,507,6,0,27,3,97,502,0,1,1,1
  CA: Contra Costa County (06013),2005-2009,female,0-44,nhw,3,33,0,2,1,0,2,31,0,0,0,0
  CA: Contra Costa County (06013),2005-2009,female,45-64,nhw,23,224,2,2,3,1,18,221,0,0,0,0
