,,,,,fema_scc,fema_non,fema_cervix_scc,fema_cervix_non,fema_corpusUterusNOS_scc,fema_corpusUterusNOS_non,fema_corpusUteri_scc,fema_corpusUteri_non,fema_ovary_scc,fema_ovary_non,fema_vagina_scc,fema_vagina_non,fema_vulva_scc,fema_vulva_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,33,107,27,22,0,43,0,43,0,41,3,0,3,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,39,355,23,18,0,220,0,219,0,108,4,3,12,2
  CA: Alameda County (06001),2000-2004,female,65+,nhw,33,405,12,7,2,258,1,257,0,119,3,4,16,9
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,33,99,29,13,2,41,2,40,0,44,0,0,2,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,26,376,14,14,2,239,1,238,1,112,2,1,7,3
  CA: Alameda County (06001),2005-2009,female,65+,nhw,27,334,12,5,1,202,1,197,0,108,1,3,13,10
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,23,89,19,15,0,41,0,40,0,30,0,1,4,0
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,31,354,17,12,1,243,1,241,1,84,1,1,11,4
  CA: Alameda County (06001),2010-2013,female,65+,nhw,26,322,4,7,1,198,1,197,0,98,2,1,19,6
