,,,,,male_scc,male_non,male_penis_scc,male_penis_non,male_other_scc,male_other_non
  CA: Alameda County (06001),2000-2004,male,0-44,nhw,0,149,0,1,0,3
  CA: Alameda County (06001),2000-2004,male,0-44,hw,1,62,1,0,0,0
  CA: Alameda County (06001),2000-2004,male,0-44,b,0,51,0,0,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,nhw,1,"1,077",0,1,1,2
  CA: Alameda County (06001),2000-2004,male,45-64,hw,3,134,3,0,0,0
  CA: Alameda County (06001),2000-2004,male,45-64,b,1,432,1,0,0,0
  CA: Alameda County (06001),2000-2004,male,65+,nhw,7,"1,429",7,2,0,0
  CA: Alameda County (06001),2000-2004,male,65+,hw,3,215,3,0,0,0
  CA: Alameda County (06001),2000-2004,male,65+,b,0,449,0,0,0,1
  CA: Alameda County (06001),2000-2004,female,0-44,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,0-44,b,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,45-64,b,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,65+,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,65+,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2000-2004,female,65+,b,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,nhw,2,153,2,0,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,hw,1,55,1,0,0,0
  CA: Alameda County (06001),2005-2009,male,0-44,b,1,53,1,0,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,nhw,1,"1,137",1,0,0,0
  CA: Alameda County (06001),2005-2009,male,45-64,hw,1,172,1,0,0,1
  CA: Alameda County (06001),2005-2009,male,45-64,b,1,474,1,0,0,0
  CA: Alameda County (06001),2005-2009,male,65+,nhw,1,"1,302",1,1,0,0
  CA: Alameda County (06001),2005-2009,male,65+,hw,2,248,2,2,0,0
  CA: Alameda County (06001),2005-2009,male,65+,b,1,458,1,0,0,2
  CA: Alameda County (06001),2005-2009,female,0-44,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,0-44,b,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,45-64,b,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,65+,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,65+,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2005-2009,female,65+,b,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,nhw,0,114,0,1,0,1
  CA: Alameda County (06001),2010-2013,male,0-44,hw,0,58,0,1,0,0
  CA: Alameda County (06001),2010-2013,male,0-44,b,0,41,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,nhw,2,808,2,1,0,2
  CA: Alameda County (06001),2010-2013,male,45-64,hw,0,177,0,0,0,0
  CA: Alameda County (06001),2010-2013,male,45-64,b,0,404,0,0,0,1
  CA: Alameda County (06001),2010-2013,male,65+,nhw,5,909,5,0,0,1
  CA: Alameda County (06001),2010-2013,male,65+,hw,2,168,2,1,0,0
  CA: Alameda County (06001),2010-2013,male,65+,b,1,323,1,2,0,1
  CA: Alameda County (06001),2010-2013,female,0-44,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,0-44,b,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,45-64,b,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,65+,nhw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,65+,hw,0,0,0,0,0,0
  CA: Alameda County (06001),2010-2013,female,65+,b,0,0,0,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,nhw,0,150,0,0,0,1
  CA: Contra Costa County (06013),2000-2004,male,0-44,hw,1,19,1,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,0-44,b,0,19,0,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,nhw,1,"1,066",1,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,hw,0,91,0,0,0,0
  CA: Contra Costa County (06013),2000-2004,male,45-64,b,1,199,0,1,0,0
