,,,,,all_scc,all_non,resp_scc,resp_non,oral_scc,oral_non,pop
San Francisco-Oakland SMSA Registry,2000-2004,male,0-44,nhw,241,1799,43,139,126,35,3428970
San Francisco-Oakland SMSA Registry,2000-2004,male,0-44,hw,41,484,4,27,20,6,1596756
San Francisco-Oakland SMSA Registry,2000-2004,male,0-44,b,56,340,16,53,20,9,781168
San Francisco-Oakland SMSA Registry,2000-2004,male,45-64,nhw,849,7812,283,857,393,64,1470558
San Francisco-Oakland SMSA Registry,2000-2004,male,45-64,hw,80,975,24,83,37,10,252248
San Francisco-Oakland SMSA Registry,2000-2004,male,45-64,b,199,1743,89,296,62,10,224270
San Francisco-Oakland SMSA Registry,2000-2004,male,65+,nhw,1125,13625,592,2011,338,62,636928
San Francisco-Oakland SMSA Registry,2000-2004,male,65+,hw,87,1504,55,187,15,8,77355
San Francisco-Oakland SMSA Registry,2000-2004,male,65+,b,185,1907,124,322,26,11,81700
San Francisco-Oakland SMSA Registry,2000-2004,female,0-44,nhw,217,3383,14,142,43,27,3246779
San Francisco-Oakland SMSA Registry,2000-2004,female,0-44,hw,69,861,0,36,6,6,1408099
San Francisco-Oakland SMSA Registry,2000-2004,female,0-44,b,74,702,8,60,10,14,814506
San Francisco-Oakland SMSA Registry,2000-2004,female,45-64,nhw,439,8382,113,844,112,39,1454382
San Francisco-Oakland SMSA Registry,2000-2004,female,45-64,hw,82,1235,11,88,10,6,264857
San Francisco-Oakland SMSA Registry,2000-2004,female,45-64,b,107,1406,37,233,15,17,252187
San Francisco-Oakland SMSA Registry,2000-2004,female,65+,nhw,842,13355,348,2342,212,77,881938
San Francisco-Oakland SMSA Registry,2000-2004,female,65+,hw,82,1366,33,165,11,8,116661
San Francisco-Oakland SMSA Registry,2000-2004,female,65+,b,116,1768,58,328,15,4,123290
San Francisco-Oakland SMSA Registry,2005-2009,male,0-44,nhw,195,1672,21,87,118,36,3054120
San Francisco-Oakland SMSA Registry,2005-2009,male,0-44,hw,29,578,5,32,16,8,1680428
San Francisco-Oakland SMSA Registry,2005-2009,male,0-44,b,47,334,9,31,15,5,725166
San Francisco-Oakland SMSA Registry,2005-2009,male,45-64,nhw,855,8272,208,651,469,84,1530067
San Francisco-Oakland SMSA Registry,2005-2009,male,45-64,hw,96,1277,30,93,46,10,319245
San Francisco-Oakland SMSA Registry,2005-2009,male,45-64,b,155,1885,67,246,52,12,247819
San Francisco-Oakland SMSA Registry,2005-2009,male,65+,nhw,943,12646,456,1761,308,64,656997
San Francisco-Oakland SMSA Registry,2005-2009,male,65+,hw,99,1634,49,185,27,4,89802
San Francisco-Oakland SMSA Registry,2005-2009,male,65+,b,157,1925,96,302,35,3,84666
San Francisco-Oakland SMSA Registry,2005-2009,female,0-44,nhw,137,3149,7,94,30,19,2900112
